variable;Feature.Type;Factor
F1;Protein;10.92
F2;Protein;8.7
F3;Protein;1.95
F4;Protein;1.1
F5;Protein;1.3
F6;Protein;1.05
F7;Protein;1
F8;Protein;1.43
F9;Protein;1.69
F10;Protein;2.28
F11;Protein;3.73
F12;Protein;4.03
F13;Protein;4.34
F1415;Protein;4.4
F1617;Protein;4.96
F18;Protein;4.38
F1;RNA;1.00
F2;RNA;1.00
F3;RNA;1.00
F4;RNA;1.00
F5;RNA;1.00
F6;RNA;1.00
F7;RNA;1.00
F8;RNA;1.00
F9;RNA;1.00
F10;RNA;1.00
F11;RNA;1.00
F12;RNA;1.00
F13;RNA;1.00
F1415;RNA;1.00
F1617;RNA;1.00
F18;RNA;1.00
